"","polyspinis_2013","polyspinis_2015","polyspinis_2017","polyspinis_2019"
"6313",9.53751116000529,11.8626165766201,24.1517161486054,12.8032802649541
"6314",2.50414959262841,0.290053820125229,5.84263850727445,0.359891457655363
"6315",1.37997950892791,0.150887213157819,3.23110658929409,0.135777184081463
"6316",0.0658111265017051,0.18445639809218,0.63378964139468,0.0543740900394218
"6317",116.76476402201,25.0261500210821,619.156605415993,51.2407243666292
"6318",38.5824033487611,53.8465250697419,215.439321332683,13.1586433182049
"6319",0.869238239506992,0.093547863766018,2.01357702362667,0.0707712169323716
"6320",0.755195312814743,0.083890960075314,1.72942208827462,0.0635124434937605
"6321",0.556541940629296,0.0637892113581987,1.26629636811084,0.0483257465062565
"6322",0.454228365568535,0.0537337187837602,1.02344464429939,0.0407365781406893
"6323",44.9673552350136,38.7406576396142,160.187509649572,12.9828290118321
"6324",47.8048415195665,29.4157982766847,128.950682261148,14.5766406155169
"6325",0.490769462611503,1.51710240712815,0.490368442985137,7.28495169371878
"6326",0.412006865487441,0.947675190211245,0.344943013412901,4.77865965410153
"6327",0.370767209455043,0.0452700763291961,0.827173662023292,0.0343442938213899
"6328",214.008020676768,47.3796638556391,1460.61973415669,68.216057055242
"6329",0.397681287323942,0.0501435890420189,0.871846564636334,0.0380747261534666
"6330",0.826569696996668,0.110819296997056,1.73517980359365,0.104028268782414
"6331",10.2361151971557,17.6246065921769,32.2877406802808,21.6350069154676
"6332",8.39208423439058,1.24250204067857,14.2666237457232,1.75606994584407
"6333",46.857059653367,8.11196730588225,45.652018283336,7.18940593931604
"6334",81.3927274035118,14.8273284387479,60.1928396268514,9.58516359635231
"6335",8.67676014221669,1.51863758360106,9.11200483427856,0.848699769559682
"6336",13.3207321217741,2.31741139387247,12.2366212640414,1.1543973838501
"6337",0.795663128921185,0.135604528277763,0.83108822333403,0.059413497307703
"6338",132.989080004843,30.8124577929174,983.016679323299,32.6057496355821
"6339",45.6974254855284,10.0242436614717,343.896008183158,9.33444496088065
"6340",1.65330872199419,3.08655499995215,11.4599482265336,1.08593610168351
"6341",3.45083435305257,4.29544075018347,17.2078013000465,1.80118824940024
"6342",0.527475933357948,0.900617511945454,0.368603170023285,4.59382267866916
"6343",9.70149914446281,22.026213637011,37.4593394276782,31.1435791269341
"6344",57.1690544808614,10.8193067744218,340.302538420304,10.9729626274023
"6345",0.598335110334099,0.830679962609916,2.82681016444842,0.277575022973822
"6346",2.77218918879839,2.33668344746481,10.4070142901882,1.15652967784321
"6347",0.248759625206905,0.37376502339007,0.163494882255739,1.98564587886513
"6348",0.111705399317327,0.164501654538675,0.0767683601352907,0.936571790090175
"6349",0.428670981550729,0.620699011471792,0.278503370375212,3.29545790992439
"6350",0.259226235465331,0.376394659097324,0.179384272343958,2.08445127594026
"6351",913.413465049229,86.5105980484115,1624.17900571421,138.305044982725
"6352",202.062609523624,32.9844244271814,882.946033689597,38.5070401322379
